id,section,source_version,en,nl,fr,de,notes
what-is-tooli,welcome,1.0,done,done,done,done,Main landing page
quick-start-guide,welcome,1.0,done,done,done,done,
what-is-an-ai-agent,ai-assistants,1.0,done,done,done,done,
tooli-ai-agents,ai-assistants,1.0,done,done,done,done,
learning,learning,1.0,done,done,done,done,
use-cases,use-cases,1.0,done,done,done,done,
faq,support,1.0,done,done,done,done,
cant-register,support,1.0,done,done,done,done,
terms-of-service,legal,1.0,done,done,done,done,Legal review needed
privacy-policy,legal,1.0,done,done,done,done,Legal review needed
legal-notice,legal,1.0,done,done,done,done,
cookie-policy,legal,1.0,done,done,done,done,
